GENE SYMBOL	HAPLOINSUFFICIENCY SCORE	HAPLOINSUFFICIENCY DESCRIPTION	TRIPLOSENSITIVITY SCORE	TRIPLOSENSITIVITY DESCRIPTION
GENE0	3	Synthetic description	0	No evidence available
GENE1	1	Synthetic description	0	No evidence available
GENE2	2	Synthetic description	0	No evidence available
GENE3	3	Synthetic description	0	No evidence available
GENE4	3	Synthetic description	0	No evidence available
GENE5	1	Synthetic description	0	No evidence available
GENE6	2	Synthetic description	0	No evidence available
GENE7	3	Synthetic description	0	No evidence available
GENE8	3	Synthetic description	0	No evidence available
GENE9	1	Synthetic description	0	No evidence available
GENE10	2	Synthetic description	0	No evidence available
GENE11	3	Synthetic description	0	No evidence available
GENE12	3	Synthetic description	0	No evidence available
GENE13	1	Synthetic description	0	No evidence available
GENE14	2	Synthetic description	0	No evidence available
GENE15	3	Synthetic description	0	No evidence available
GENE16	3	Synthetic description	0	No evidence available
GENE17	1	Synthetic description	0	No evidence available
GENE18	2	Synthetic description	0	No evidence available
GENE19	3	Synthetic description	0	No evidence available
GENE20	3	Synthetic description	0	No evidence available
GENE21	1	Synthetic description	0	No evidence available
GENE22	2	Synthetic description	0	No evidence available
GENE23	3	Synthetic description	0	No evidence available
GENE24	3	Synthetic description	0	No evidence available
GENE25	1	Synthetic description	0	No evidence available
GENE26	2	Synthetic description	0	No evidence available
GENE27	3	Synthetic description	0	No evidence available
GENE28	3	Synthetic description	0	No evidence available
GENE29	1	Synthetic description	0	No evidence available
GENE30	2	Synthetic description	0	No evidence available
GENE31	3	Synthetic description	0	No evidence available
GENE32	3	Synthetic description	0	No evidence available
GENE33	1	Synthetic description	0	No evidence available
GENE34	2	Synthetic description	0	No evidence available
GENE35	3	Synthetic description	0	No evidence available
GENE36	3	Synthetic description	0	No evidence available
GENE37	1	Synthetic description	0	No evidence available
GENE38	2	Synthetic description	0	No evidence available
GENE39	3	Synthetic description	0	No evidence available
GENE40	3	Synthetic description	0	No evidence available
GENE41	1	Synthetic description	0	No evidence available
GENE42	2	Synthetic description	0	No evidence available
GENE43	3	Synthetic description	0	No evidence available
GENE44	3	Synthetic description	0	No evidence available
GENE45	1	Synthetic description	0	No evidence available
GENE46	2	Synthetic description	0	No evidence available
GENE47	3	Synthetic description	0	No evidence available
GENE48	3	Synthetic description	0	No evidence available
GENE49	1	Synthetic description	0	No evidence available
GENE50	2	Synthetic description	0	No evidence available
GENE51	3	Synthetic description	0	No evidence available
GENE52	3	Synthetic description	0	No evidence available
GENE53	1	Synthetic description	0	No evidence available
GENE54	2	Synthetic description	0	No evidence available
GENE55	3	Synthetic description	0	No evidence available
GENE56	3	Synthetic description	0	No evidence available
GENE57	1	Synthetic description	0	No evidence available
GENE58	2	Synthetic description	0	No evidence available
GENE59	3	Synthetic description	0	No evidence available
GENE60	3	Synthetic description	0	No evidence available
GENE61	1	Synthetic description	0	No evidence available
GENE62	2	Synthetic description	0	No evidence available
GENE63	3	Synthetic description	0	No evidence available
GENE64	3	Synthetic description	0	No evidence available
GENE65	1	Synthetic description	0	No evidence available
GENE66	2	Synthetic description	0	No evidence available
GENE67	3	Synthetic description	0	No evidence available
GENE68	3	Synthetic description	0	No evidence available
GENE69	1	Synthetic description	0	No evidence available
GENE70	2	Synthetic description	0	No evidence available
GENE71	3	Synthetic description	0	No evidence available
GENE72	3	Synthetic description	0	No evidence available
GENE73	1	Synthetic description	0	No evidence available
GENE74	2	Synthetic description	0	No evidence available
GENE75	3	Synthetic description	0	No evidence available
GENE76	3	Synthetic description	0	No evidence available
GENE77	1	Synthetic description	0	No evidence available
GENE78	2	Synthetic description	0	No evidence available
GENE79	3	Synthetic description	0	No evidence available
GENE80	3	Synthetic description	0	No evidence available
GENE81	1	Synthetic description	0	No evidence available
GENE82	2	Synthetic description	0	No evidence available
GENE83	3	Synthetic description	0	No evidence available
GENE84	3	Synthetic description	0	No evidence available
GENE85	1	Synthetic description	0	No evidence available
GENE86	2	Synthetic description	0	No evidence available
GENE87	3	Synthetic description	0	No evidence available
GENE88	3	Synthetic description	0	No evidence available
GENE89	1	Synthetic description	0	No evidence available
GENE90	2	Synthetic description	0	No evidence available
GENE91	3	Synthetic description	0	No evidence available
GENE92	3	Synthetic description	0	No evidence available
GENE93	1	Synthetic description	0	No evidence available
GENE94	2	Synthetic description	0	No evidence available
GENE95	3	Synthetic description	0	No evidence available
GENE96	3	Synthetic description	0	No evidence available
GENE97	1	Synthetic description	0	No evidence available
GENE98	2	Synthetic description	0	No evidence available
GENE99	3	Synthetic description	0	No evidence available
GENE100	3	Synthetic description	0	No evidence available
GENE101	1	Synthetic description	0	No evidence available
GENE102	2	Synthetic description	0	No evidence available
GENE103	3	Synthetic description	0	No evidence available
GENE104	3	Synthetic description	0	No evidence available
GENE105	1	Synthetic description	0	No evidence available
GENE106	2	Synthetic description	0	No evidence available
GENE107	3	Synthetic description	0	No evidence available
GENE108	3	Synthetic description	0	No evidence available
GENE109	1	Synthetic description	0	No evidence available
GENE110	2	Synthetic description	0	No evidence available
GENE111	3	Synthetic description	0	No evidence available
GENE112	3	Synthetic description	0	No evidence available
GENE113	1	Synthetic description	0	No evidence available
GENE114	2	Synthetic description	0	No evidence available
GENE115	3	Synthetic description	0	No evidence available
GENE116	3	Synthetic description	0	No evidence available
GENE117	1	Synthetic description	0	No evidence available
GENE118	2	Synthetic description	0	No evidence available
GENE119	3	Synthetic description	0	No evidence available
GENE120	3	Synthetic description	0	No evidence available
GENE121	1	Synthetic description	0	No evidence available
GENE122	2	Synthetic description	0	No evidence available
GENE123	3	Synthetic description	0	No evidence available
GENE124	3	Synthetic description	0	No evidence available
GENE125	1	Synthetic description	0	No evidence available
GENE126	2	Synthetic description	0	No evidence available
GENE127	3	Synthetic description	0	No evidence available
GENE128	3	Synthetic description	0	No evidence available
GENE129	1	Synthetic description	0	No evidence available
GENE130	2	Synthetic description	0	No evidence available
GENE131	3	Synthetic description	0	No evidence available
GENE132	3	Synthetic description	0	No evidence available
GENE133	1	Synthetic description	0	No evidence available
GENE134	2	Synthetic description	0	No evidence available
GENE135	3	Synthetic description	0	No evidence available
GENE136	3	Synthetic description	0	No evidence available
GENE137	1	Synthetic description	0	No evidence available
GENE138	2	Synthetic description	0	No evidence available
GENE139	3	Synthetic description	0	No evidence available
GENE140	3	Synthetic description	0	No evidence available
GENE141	1	Synthetic description	0	No evidence available
GENE142	2	Synthetic description	0	No evidence available
GENE143	3	Synthetic description	0	No evidence available
GENE144	3	Synthetic description	0	No evidence available
GENE145	1	Synthetic description	0	No evidence available
GENE146	2	Synthetic description	0	No evidence available
GENE147	3	Synthetic description	0	No evidence available
GENE148	3	Synthetic description	0	No evidence available
GENE149	1	Synthetic description	0	No evidence available
GENE150	2	Synthetic description	0	No evidence available
GENE151	3	Synthetic description	0	No evidence available
GENE152	3	Synthetic description	0	No evidence available
GENE153	1	Synthetic description	0	No evidence available
GENE154	2	Synthetic description	0	No evidence available
GENE155	3	Synthetic description	0	No evidence available
GENE156	3	Synthetic description	0	No evidence available
GENE157	1	Synthetic description	0	No evidence available
