GENE SYMBOL	GENE ID (HGNC)	DISEASE LABEL	DISEASE ID (MONDO)	MOI	SOP	CLASSIFICATION	ONLINE REPORT	CLASSIFICATION DATE	GCEP
GENE0	HGNC:1000	Synthetic disease 0	MONDO:7000000	Autosomal dominant	SOP9	Definitive	https://example.org/GENE0	2023-01-01	Synthetic GCEP
GENE1	HGNC:1001	Synthetic disease 1	MONDO:7000001	Autosomal dominant	SOP9	Strong	https://example.org/GENE1	2023-01-01	Synthetic GCEP
GENE2	HGNC:1002	Synthetic disease 2	MONDO:7000002	Autosomal dominant	SOP9	Moderate	https://example.org/GENE2	2023-01-01	Synthetic GCEP
GENE3	HGNC:1003	Synthetic disease 3	MONDO:7000003	Autosomal dominant	SOP9	Limited	https://example.org/GENE3	2023-01-01	Synthetic GCEP
GENE4	HGNC:1004	Synthetic disease 4	MONDO:7000004	Autosomal dominant	SOP9	Disputed	https://example.org/GENE4	2023-01-01	Synthetic GCEP
GENE5	HGNC:1005	Synthetic disease 5	MONDO:7000005	Autosomal dominant	SOP9	Definitive	https://example.org/GENE5	2023-01-01	Synthetic GCEP
GENE6	HGNC:1006	Synthetic disease 6	MONDO:7000006	Autosomal dominant	SOP9	Strong	https://example.org/GENE6	2023-01-01	Synthetic GCEP
GENE7	HGNC:1007	Synthetic disease 7	MONDO:7000007	Autosomal dominant	SOP9	Moderate	https://example.org/GENE7	2023-01-01	Synthetic GCEP
GENE8	HGNC:1008	Synthetic disease 8	MONDO:7000008	Autosomal dominant	SOP9	Limited	https://example.org/GENE8	2023-01-01	Synthetic GCEP
GENE9	HGNC:1009	Synthetic disease 9	MONDO:7000009	Autosomal dominant	SOP9	Disputed	https://example.org/GENE9	2023-01-01	Synthetic GCEP
GENE10	HGNC:1010	Synthetic disease 10	MONDO:7000010	Autosomal dominant	SOP9	Definitive	https://example.org/GENE10	2023-01-01	Synthetic GCEP
GENE11	HGNC:1011	Synthetic disease 11	MONDO:7000011	Autosomal dominant	SOP9	Strong	https://example.org/GENE11	2023-01-01	Synthetic GCEP
GENE12	HGNC:1012	Synthetic disease 12	MONDO:7000012	Autosomal dominant	SOP9	Moderate	https://example.org/GENE12	2023-01-01	Synthetic GCEP
GENE13	HGNC:1013	Synthetic disease 13	MONDO:7000013	Autosomal dominant	SOP9	Limited	https://example.org/GENE13	2023-01-01	Synthetic GCEP
GENE14	HGNC:1014	Synthetic disease 14	MONDO:7000014	Autosomal dominant	SOP9	Disputed	https://example.org/GENE14	2023-01-01	Synthetic GCEP
GENE15	HGNC:1015	Synthetic disease 15	MONDO:7000015	Autosomal dominant	SOP9	Definitive	https://example.org/GENE15	2023-01-01	Synthetic GCEP
GENE16	HGNC:1016	Synthetic disease 16	MONDO:7000016	Autosomal dominant	SOP9	Strong	https://example.org/GENE16	2023-01-01	Synthetic GCEP
GENE17	HGNC:1017	Synthetic disease 17	MONDO:7000017	Autosomal dominant	SOP9	Moderate	https://example.org/GENE17	2023-01-01	Synthetic GCEP
GENE18	HGNC:1018	Synthetic disease 18	MONDO:7000018	Autosomal dominant	SOP9	Limited	https://example.org/GENE18	2023-01-01	Synthetic GCEP
GENE19	HGNC:1019	Synthetic disease 19	MONDO:7000019	Autosomal dominant	SOP9	Disputed	https://example.org/GENE19	2023-01-01	Synthetic GCEP
GENE20	HGNC:1020	Synthetic disease 20	MONDO:7000020	Autosomal dominant	SOP9	Definitive	https://example.org/GENE20	2023-01-01	Synthetic GCEP
GENE21	HGNC:1021	Synthetic disease 21	MONDO:7000021	Autosomal dominant	SOP9	Strong	https://example.org/GENE21	2023-01-01	Synthetic GCEP
GENE22	HGNC:1022	Synthetic disease 22	MONDO:7000022	Autosomal dominant	SOP9	Moderate	https://example.org/GENE22	2023-01-01	Synthetic GCEP
GENE23	HGNC:1023	Synthetic disease 23	MONDO:7000023	Autosomal dominant	SOP9	Limited	https://example.org/GENE23	2023-01-01	Synthetic GCEP
GENE24	HGNC:1024	Synthetic disease 24	MONDO:7000024	Autosomal dominant	SOP9	Disputed	https://example.org/GENE24	2023-01-01	Synthetic GCEP
GENE25	HGNC:1025	Synthetic disease 25	MONDO:7000025	Autosomal dominant	SOP9	Definitive	https://example.org/GENE25	2023-01-01	Synthetic GCEP
GENE26	HGNC:1026	Synthetic disease 26	MONDO:7000026	Autosomal dominant	SOP9	Strong	https://example.org/GENE26	2023-01-01	Synthetic GCEP
GENE27	HGNC:1027	Synthetic disease 27	MONDO:7000027	Autosomal dominant	SOP9	Moderate	https://example.org/GENE27	2023-01-01	Synthetic GCEP
GENE28	HGNC:1028	Synthetic disease 28	MONDO:7000028	Autosomal dominant	SOP9	Limited	https://example.org/GENE28	2023-01-01	Synthetic GCEP
GENE29	HGNC:1029	Synthetic disease 29	MONDO:7000029	Autosomal dominant	SOP9	Disputed	https://example.org/GENE29	2023-01-01	Synthetic GCEP
GENE30	HGNC:1030	Synthetic disease 30	MONDO:7000030	Autosomal dominant	SOP9	Definitive	https://example.org/GENE30	2023-01-01	Synthetic GCEP
GENE31	HGNC:1031	Synthetic disease 31	MONDO:7000031	Autosomal dominant	SOP9	Strong	https://example.org/GENE31	2023-01-01	Synthetic GCEP
GENE32	HGNC:1032	Synthetic disease 32	MONDO:7000032	Autosomal dominant	SOP9	Moderate	https://example.org/GENE32	2023-01-01	Synthetic GCEP
GENE33	HGNC:1033	Synthetic disease 33	MONDO:7000033	Autosomal dominant	SOP9	Limited	https://example.org/GENE33	2023-01-01	Synthetic GCEP
GENE34	HGNC:1034	Synthetic disease 34	MONDO:7000034	Autosomal dominant	SOP9	Disputed	https://example.org/GENE34	2023-01-01	Synthetic GCEP
GENE35	HGNC:1035	Synthetic disease 35	MONDO:7000035	Autosomal dominant	SOP9	Definitive	https://example.org/GENE35	2023-01-01	Synthetic GCEP
GENE36	HGNC:1036	Synthetic disease 36	MONDO:7000036	Autosomal dominant	SOP9	Strong	https://example.org/GENE36	2023-01-01	Synthetic GCEP
GENE37	HGNC:1037	Synthetic disease 37	MONDO:7000037	Autosomal dominant	SOP9	Moderate	https://example.org/GENE37	2023-01-01	Synthetic GCEP
GENE38	HGNC:1038	Synthetic disease 38	MONDO:7000038	Autosomal dominant	SOP9	Limited	https://example.org/GENE38	2023-01-01	Synthetic GCEP
GENE39	HGNC:1039	Synthetic disease 39	MONDO:7000039	Autosomal dominant	SOP9	Disputed	https://example.org/GENE39	2023-01-01	Synthetic GCEP
GENE40	HGNC:1040	Synthetic disease 40	MONDO:7000040	Autosomal dominant	SOP9	Definitive	https://example.org/GENE40	2023-01-01	Synthetic GCEP
GENE41	HGNC:1041	Synthetic disease 41	MONDO:7000041	Autosomal dominant	SOP9	Strong	https://example.org/GENE41	2023-01-01	Synthetic GCEP
GENE42	HGNC:1042	Synthetic disease 42	MONDO:7000042	Autosomal dominant	SOP9	Moderate	https://example.org/GENE42	2023-01-01	Synthetic GCEP
GENE43	HGNC:1043	Synthetic disease 43	MONDO:7000043	Autosomal dominant	SOP9	Limited	https://example.org/GENE43	2023-01-01	Synthetic GCEP
GENE44	HGNC:1044	Synthetic disease 44	MONDO:7000044	Autosomal dominant	SOP9	Disputed	https://example.org/GENE44	2023-01-01	Synthetic GCEP
GENE45	HGNC:1045	Synthetic disease 45	MONDO:7000045	Autosomal dominant	SOP9	Definitive	https://example.org/GENE45	2023-01-01	Synthetic GCEP
GENE46	HGNC:1046	Synthetic disease 46	MONDO:7000046	Autosomal dominant	SOP9	Strong	https://example.org/GENE46	2023-01-01	Synthetic GCEP
GENE47	HGNC:1047	Synthetic disease 47	MONDO:7000047	Autosomal dominant	SOP9	Moderate	https://example.org/GENE47	2023-01-01	Synthetic GCEP
GENE48	HGNC:1048	Synthetic disease 48	MONDO:7000048	Autosomal dominant	SOP9	Limited	https://example.org/GENE48	2023-01-01	Synthetic GCEP
GENE49	HGNC:1049	Synthetic disease 49	MONDO:7000049	Autosomal dominant	SOP9	Disputed	https://example.org/GENE49	2023-01-01	Synthetic GCEP
GENE50	HGNC:1050	Synthetic disease 50	MONDO:7000050	Autosomal dominant	SOP9	Definitive	https://example.org/GENE50	2023-01-01	Synthetic GCEP
GENE51	HGNC:1051	Synthetic disease 51	MONDO:7000051	Autosomal dominant	SOP9	Strong	https://example.org/GENE51	2023-01-01	Synthetic GCEP
GENE52	HGNC:1052	Synthetic disease 52	MONDO:7000052	Autosomal dominant	SOP9	Moderate	https://example.org/GENE52	2023-01-01	Synthetic GCEP
GENE53	HGNC:1053	Synthetic disease 53	MONDO:7000053	Autosomal dominant	SOP9	Limited	https://example.org/GENE53	2023-01-01	Synthetic GCEP
GENE54	HGNC:1054	Synthetic disease 54	MONDO:7000054	Autosomal dominant	SOP9	Disputed	https://example.org/GENE54	2023-01-01	Synthetic GCEP
GENE55	HGNC:1055	Synthetic disease 55	MONDO:7000055	Autosomal dominant	SOP9	Definitive	https://example.org/GENE55	2023-01-01	Synthetic GCEP
GENE56	HGNC:1056	Synthetic disease 56	MONDO:7000056	Autosomal dominant	SOP9	Strong	https://example.org/GENE56	2023-01-01	Synthetic GCEP
GENE57	HGNC:1057	Synthetic disease 57	MONDO:7000057	Autosomal dominant	SOP9	Moderate	https://example.org/GENE57	2023-01-01	Synthetic GCEP
GENE58	HGNC:1058	Synthetic disease 58	MONDO:7000058	Autosomal dominant	SOP9	Limited	https://example.org/GENE58	2023-01-01	Synthetic GCEP
GENE59	HGNC:1059	Synthetic disease 59	MONDO:7000059	Autosomal dominant	SOP9	Disputed	https://example.org/GENE59	2023-01-01	Synthetic GCEP
GENE60	HGNC:1060	Synthetic disease 60	MONDO:7000060	Autosomal dominant	SOP9	Definitive	https://example.org/GENE60	2023-01-01	Synthetic GCEP
GENE61	HGNC:1061	Synthetic disease 61	MONDO:7000061	Autosomal dominant	SOP9	Strong	https://example.org/GENE61	2023-01-01	Synthetic GCEP
GENE62	HGNC:1062	Synthetic disease 62	MONDO:7000062	Autosomal dominant	SOP9	Moderate	https://example.org/GENE62	2023-01-01	Synthetic GCEP
GENE63	HGNC:1063	Synthetic disease 63	MONDO:7000063	Autosomal dominant	SOP9	Limited	https://example.org/GENE63	2023-01-01	Synthetic GCEP
GENE64	HGNC:1064	Synthetic disease 64	MONDO:7000064	Autosomal dominant	SOP9	Disputed	https://example.org/GENE64	2023-01-01	Synthetic GCEP
GENE65	HGNC:1065	Synthetic disease 65	MONDO:7000065	Autosomal dominant	SOP9	Definitive	https://example.org/GENE65	2023-01-01	Synthetic GCEP
GENE66	HGNC:1066	Synthetic disease 66	MONDO:7000066	Autosomal dominant	SOP9	Strong	https://example.org/GENE66	2023-01-01	Synthetic GCEP
GENE67	HGNC:1067	Synthetic disease 67	MONDO:7000067	Autosomal dominant	SOP9	Moderate	https://example.org/GENE67	2023-01-01	Synthetic GCEP
GENE68	HGNC:1068	Synthetic disease 68	MONDO:7000068	Autosomal dominant	SOP9	Limited	https://example.org/GENE68	2023-01-01	Synthetic GCEP
GENE69	HGNC:1069	Synthetic disease 69	MONDO:7000069	Autosomal dominant	SOP9	Disputed	https://example.org/GENE69	2023-01-01	Synthetic GCEP
GENE70	HGNC:1070	Synthetic disease 70	MONDO:7000070	Autosomal dominant	SOP9	Definitive	https://example.org/GENE70	2023-01-01	Synthetic GCEP
GENE71	HGNC:1071	Synthetic disease 71	MONDO:7000071	Autosomal dominant	SOP9	Strong	https://example.org/GENE71	2023-01-01	Synthetic GCEP
GENE72	HGNC:1072	Synthetic disease 72	MONDO:7000072	Autosomal dominant	SOP9	Moderate	https://example.org/GENE72	2023-01-01	Synthetic GCEP
GENE73	HGNC:1073	Synthetic disease 73	MONDO:7000073	Autosomal dominant	SOP9	Limited	https://example.org/GENE73	2023-01-01	Synthetic GCEP
GENE74	HGNC:1074	Synthetic disease 74	MONDO:7000074	Autosomal dominant	SOP9	Disputed	https://example.org/GENE74	2023-01-01	Synthetic GCEP
GENE75	HGNC:1075	Synthetic disease 75	MONDO:7000075	Autosomal dominant	SOP9	Definitive	https://example.org/GENE75	2023-01-01	Synthetic GCEP
GENE76	HGNC:1076	Synthetic disease 76	MONDO:7000076	Autosomal dominant	SOP9	Strong	https://example.org/GENE76	2023-01-01	Synthetic GCEP
GENE77	HGNC:1077	Synthetic disease 77	MONDO:7000077	Autosomal dominant	SOP9	Moderate	https://example.org/GENE77	2023-01-01	Synthetic GCEP
GENE78	HGNC:1078	Synthetic disease 78	MONDO:7000078	Autosomal dominant	SOP9	Limited	https://example.org/GENE78	2023-01-01	Synthetic GCEP
GENE79	HGNC:1079	Synthetic disease 79	MONDO:7000079	Autosomal dominant	SOP9	Disputed	https://example.org/GENE79	2023-01-01	Synthetic GCEP
GENE80	HGNC:1080	Synthetic disease 80	MONDO:7000080	Autosomal dominant	SOP9	Definitive	https://example.org/GENE80	2023-01-01	Synthetic GCEP
GENE81	HGNC:1081	Synthetic disease 81	MONDO:7000081	Autosomal dominant	SOP9	Strong	https://example.org/GENE81	2023-01-01	Synthetic GCEP
GENE82	HGNC:1082	Synthetic disease 82	MONDO:7000082	Autosomal dominant	SOP9	Moderate	https://example.org/GENE82	2023-01-01	Synthetic GCEP
GENE83	HGNC:1083	Synthetic disease 83	MONDO:7000083	Autosomal dominant	SOP9	Limited	https://example.org/GENE83	2023-01-01	Synthetic GCEP
GENE84	HGNC:1084	Synthetic disease 84	MONDO:7000084	Autosomal dominant	SOP9	Disputed	https://example.org/GENE84	2023-01-01	Synthetic GCEP
GENE85	HGNC:1085	Synthetic disease 85	MONDO:7000085	Autosomal dominant	SOP9	Definitive	https://example.org/GENE85	2023-01-01	Synthetic GCEP
GENE86	HGNC:1086	Synthetic disease 86	MONDO:7000086	Autosomal dominant	SOP9	Strong	https://example.org/GENE86	2023-01-01	Synthetic GCEP
GENE87	HGNC:1087	Synthetic disease 87	MONDO:7000087	Autosomal dominant	SOP9	Moderate	https://example.org/GENE87	2023-01-01	Synthetic GCEP
GENE88	HGNC:1088	Synthetic disease 88	MONDO:7000088	Autosomal dominant	SOP9	Limited	https://example.org/GENE88	2023-01-01	Synthetic GCEP
GENE89	HGNC:1089	Synthetic disease 89	MONDO:7000089	Autosomal dominant	SOP9	Disputed	https://example.org/GENE89	2023-01-01	Synthetic GCEP
GENE90	HGNC:1090	Synthetic disease 90	MONDO:7000090	Autosomal dominant	SOP9	Definitive	https://example.org/GENE90	2023-01-01	Synthetic GCEP
GENE91	HGNC:1091	Synthetic disease 91	MONDO:7000091	Autosomal dominant	SOP9	Strong	https://example.org/GENE91	2023-01-01	Synthetic GCEP
GENE92	HGNC:1092	Synthetic disease 92	MONDO:7000092	Autosomal dominant	SOP9	Moderate	https://example.org/GENE92	2023-01-01	Synthetic GCEP
GENE93	HGNC:1093	Synthetic disease 93	MONDO:7000093	Autosomal dominant	SOP9	Limited	https://example.org/GENE93	2023-01-01	Synthetic GCEP
GENE94	HGNC:1094	Synthetic disease 94	MONDO:7000094	Autosomal dominant	SOP9	Disputed	https://example.org/GENE94	2023-01-01	Synthetic GCEP
GENE95	HGNC:1095	Synthetic disease 95	MONDO:7000095	Autosomal dominant	SOP9	Definitive	https://example.org/GENE95	2023-01-01	Synthetic GCEP
GENE96	HGNC:1096	Synthetic disease 96	MONDO:7000096	Autosomal dominant	SOP9	Strong	https://example.org/GENE96	2023-01-01	Synthetic GCEP
GENE97	HGNC:1097	Synthetic disease 97	MONDO:7000097	Autosomal dominant	SOP9	Moderate	https://example.org/GENE97	2023-01-01	Synthetic GCEP
GENE98	HGNC:1098	Synthetic disease 98	MONDO:7000098	Autosomal dominant	SOP9	Limited	https://example.org/GENE98	2023-01-01	Synthetic GCEP
GENE99	HGNC:1099	Synthetic disease 99	MONDO:7000099	Autosomal dominant	SOP9	Disputed	https://example.org/GENE99	2023-01-01	Synthetic GCEP
GENE100	HGNC:1100	Synthetic disease 100	MONDO:7000100	Autosomal dominant	SOP9	Definitive	https://example.org/GENE100	2023-01-01	Synthetic GCEP
GENE101	HGNC:1101	Synthetic disease 101	MONDO:7000101	Autosomal dominant	SOP9	Strong	https://example.org/GENE101	2023-01-01	Synthetic GCEP
GENE102	HGNC:1102	Synthetic disease 102	MONDO:7000102	Autosomal dominant	SOP9	Moderate	https://example.org/GENE102	2023-01-01	Synthetic GCEP
GENE103	HGNC:1103	Synthetic disease 103	MONDO:7000103	Autosomal dominant	SOP9	Limited	https://example.org/GENE103	2023-01-01	Synthetic GCEP
GENE104	HGNC:1104	Synthetic disease 104	MONDO:7000104	Autosomal dominant	SOP9	Disputed	https://example.org/GENE104	2023-01-01	Synthetic GCEP
GENE105	HGNC:1105	Synthetic disease 105	MONDO:7000105	Autosomal dominant	SOP9	Definitive	https://example.org/GENE105	2023-01-01	Synthetic GCEP
GENE106	HGNC:1106	Synthetic disease 106	MONDO:7000106	Autosomal dominant	SOP9	Strong	https://example.org/GENE106	2023-01-01	Synthetic GCEP
GENE107	HGNC:1107	Synthetic disease 107	MONDO:7000107	Autosomal dominant	SOP9	Moderate	https://example.org/GENE107	2023-01-01	Synthetic GCEP
GENE108	HGNC:1108	Synthetic disease 108	MONDO:7000108	Autosomal dominant	SOP9	Limited	https://example.org/GENE108	2023-01-01	Synthetic GCEP
GENE109	HGNC:1109	Synthetic disease 109	MONDO:7000109	Autosomal dominant	SOP9	Disputed	https://example.org/GENE109	2023-01-01	Synthetic GCEP
GENE110	HGNC:1110	Synthetic disease 110	MONDO:7000110	Autosomal dominant	SOP9	Definitive	https://example.org/GENE110	2023-01-01	Synthetic GCEP
GENE111	HGNC:1111	Synthetic disease 111	MONDO:7000111	Autosomal dominant	SOP9	Strong	https://example.org/GENE111	2023-01-01	Synthetic GCEP
GENE112	HGNC:1112	Synthetic disease 112	MONDO:7000112	Autosomal dominant	SOP9	Moderate	https://example.org/GENE112	2023-01-01	Synthetic GCEP
GENE113	HGNC:1113	Synthetic disease 113	MONDO:7000113	Autosomal dominant	SOP9	Limited	https://example.org/GENE113	2023-01-01	Synthetic GCEP
GENE114	HGNC:1114	Synthetic disease 114	MONDO:7000114	Autosomal dominant	SOP9	Disputed	https://example.org/GENE114	2023-01-01	Synthetic GCEP
GENE115	HGNC:1115	Synthetic disease 115	MONDO:7000115	Autosomal dominant	SOP9	Definitive	https://example.org/GENE115	2023-01-01	Synthetic GCEP
GENE116	HGNC:1116	Synthetic disease 116	MONDO:7000116	Autosomal dominant	SOP9	Strong	https://example.org/GENE116	2023-01-01	Synthetic GCEP
GENE117	HGNC:1117	Synthetic disease 117	MONDO:7000117	Autosomal dominant	SOP9	Moderate	https://example.org/GENE117	2023-01-01	Synthetic GCEP
GENE118	HGNC:1118	Synthetic disease 118	MONDO:7000118	Autosomal dominant	SOP9	Limited	https://example.org/GENE118	2023-01-01	Synthetic GCEP
GENE119	HGNC:1119	Synthetic disease 119	MONDO:7000119	Autosomal dominant	SOP9	Disputed	https://example.org/GENE119	2023-01-01	Synthetic GCEP
GENE120	HGNC:1120	Synthetic disease 120	MONDO:7000120	Autosomal dominant	SOP9	Definitive	https://example.org/GENE120	2023-01-01	Synthetic GCEP
GENE121	HGNC:1121	Synthetic disease 121	MONDO:7000121	Autosomal dominant	SOP9	Strong	https://example.org/GENE121	2023-01-01	Synthetic GCEP
GENE122	HGNC:1122	Synthetic disease 122	MONDO:7000122	Autosomal dominant	SOP9	Moderate	https://example.org/GENE122	2023-01-01	Synthetic GCEP
GENE123	HGNC:1123	Synthetic disease 123	MONDO:7000123	Autosomal dominant	SOP9	Limited	https://example.org/GENE123	2023-01-01	Synthetic GCEP
GENE124	HGNC:1124	Synthetic disease 124	MONDO:7000124	Autosomal dominant	SOP9	Disputed	https://example.org/GENE124	2023-01-01	Synthetic GCEP
GENE125	HGNC:1125	Synthetic disease 125	MONDO:7000125	Autosomal dominant	SOP9	Definitive	https://example.org/GENE125	2023-01-01	Synthetic GCEP
GENE126	HGNC:1126	Synthetic disease 126	MONDO:7000126	Autosomal dominant	SOP9	Strong	https://example.org/GENE126	2023-01-01	Synthetic GCEP
GENE127	HGNC:1127	Synthetic disease 127	MONDO:7000127	Autosomal dominant	SOP9	Moderate	https://example.org/GENE127	2023-01-01	Synthetic GCEP
GENE128	HGNC:1128	Synthetic disease 128	MONDO:7000128	Autosomal dominant	SOP9	Limited	https://example.org/GENE128	2023-01-01	Synthetic GCEP
GENE129	HGNC:1129	Synthetic disease 129	MONDO:7000129	Autosomal dominant	SOP9	Disputed	https://example.org/GENE129	2023-01-01	Synthetic GCEP
GENE130	HGNC:1130	Synthetic disease 130	MONDO:7000130	Autosomal dominant	SOP9	Definitive	https://example.org/GENE130	2023-01-01	Synthetic GCEP
GENE131	HGNC:1131	Synthetic disease 131	MONDO:7000131	Autosomal dominant	SOP9	Strong	https://example.org/GENE131	2023-01-01	Synthetic GCEP
GENE132	HGNC:1132	Synthetic disease 132	MONDO:7000132	Autosomal dominant	SOP9	Moderate	https://example.org/GENE132	2023-01-01	Synthetic GCEP
GENE133	HGNC:1133	Synthetic disease 133	MONDO:7000133	Autosomal dominant	SOP9	Limited	https://example.org/GENE133	2023-01-01	Synthetic GCEP
GENE134	HGNC:1134	Synthetic disease 134	MONDO:7000134	Autosomal dominant	SOP9	Disputed	https://example.org/GENE134	2023-01-01	Synthetic GCEP
GENE135	HGNC:1135	Synthetic disease 135	MONDO:7000135	Autosomal dominant	SOP9	Definitive	https://example.org/GENE135	2023-01-01	Synthetic GCEP
GENE136	HGNC:1136	Synthetic disease 136	MONDO:7000136	Autosomal dominant	SOP9	Strong	https://example.org/GENE136	2023-01-01	Synthetic GCEP
GENE137	HGNC:1137	Synthetic disease 137	MONDO:7000137	Autosomal dominant	SOP9	Moderate	https://example.org/GENE137	2023-01-01	Synthetic GCEP
GENE138	HGNC:1138	Synthetic disease 138	MONDO:7000138	Autosomal dominant	SOP9	Limited	https://example.org/GENE138	2023-01-01	Synthetic GCEP
GENE139	HGNC:1139	Synthetic disease 139	MONDO:7000139	Autosomal dominant	SOP9	Disputed	https://example.org/GENE139	2023-01-01	Synthetic GCEP
GENE140	HGNC:1140	Synthetic disease 140	MONDO:7000140	Autosomal dominant	SOP9	Definitive	https://example.org/GENE140	2023-01-01	Synthetic GCEP
GENE141	HGNC:1141	Synthetic disease 141	MONDO:7000141	Autosomal dominant	SOP9	Strong	https://example.org/GENE141	2023-01-01	Synthetic GCEP
GENE142	HGNC:1142	Synthetic disease 142	MONDO:7000142	Autosomal dominant	SOP9	Moderate	https://example.org/GENE142	2023-01-01	Synthetic GCEP
